sample_accession,sample_title,source_name,organism,group,subject_id
GSM254625,Lung Tumor_GT00006,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254626,Normal Lung_GT00006,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254627,Lung Tumor_GT00007,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254628,Normal Lung_GT00007,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254629,Lung Tumor_GT00022,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254630,Lung Tumor_GT00042,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254631,Lung Tumor_GT00059,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254632,Normal Lung_GT00059,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254633,Lung Tumor_GT00146,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254634,Normal Lung_GT00146,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254635,Normal Lung_GT01001,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254636,Lung Tumor_GT01001,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254637,Lung Tumor_GT01003,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254638,Normal Lung_GT01003,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254639,Lung Tumor_GT01011,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254640,Normal Lung_GT01011,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254641,Lung Tumor_GT01017,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254642,Lung Tumor_GT01019,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254643,Normal Lung_GT01024,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254644,Normal Lung_GT01025,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254645,Lung Tumor_GT01025,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254646,Normal Lung_GT01033,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254647,Lung Tumor_GT01034,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254648,Lung Tumor_GT01036,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254649,Normal Lung_GT01036,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254650,Lung Tumor_GT01038,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254651,Normal Lung_GT01038,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254652,Lung Tumor_GT01040,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254653,Normal Lung_GT01047,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254654,Lung Tumor_GT01049,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254655,Normal Lung_GT01051,Normal Lung Tissue,Homo sapiens,Non-tumor,
