probe_id,non_tumor_mean,tumor_mean,log2FC_tumor_vs_non_tumor,t_stat,p_value,q_value,significant_q_lt_0_05_abs_log2fc_ge_1,primary_gene_symbol,gene_symbol,gene_title,gene_label
209074_s_at,10.822882571571432,7.451084000913794,-3.3717985706576377,-23.819874337514744,6.641899270452664e-44,1.480014414434967e-39,True,FAM107A,FAM107A,family with sequence similarity 107 member A,FAM107A
204396_s_at,9.971657660979595,7.583585874706896,-2.3880717862726994,-22.18923584563806,2.0091240230498477e-41,2.2384655302809876e-37,True,GRK5,GRK5,G protein-coupled receptor kinase 5,GRK5
204677_at,9.424159536510205,6.80458617336207,-2.6195733631481346,-21.74329691687893,1.3171357151325143e-40,9.78324504676594e-37,True,CDH5,CDH5,cadherin 5,CDH5
208982_at,11.650555761632654,9.83664201986207,-1.813913741770584,-20.933863916393012,3.3573249884320066e-39,1.87028181793076e-35,True,PECAM1,PECAM1,platelet and endothelial cell adhesion molecule 1,PECAM1
213103_at,8.850166691102041,7.630346923982755,-1.2198197671192865,-20.838831727410522,5.2213366636065856e-39,2.3269408975029108e-35,True,STARD13,STARD13,StAR related lipid transfer domain containing 13,STARD13
208981_at,11.068273406326526,9.37937090965517,-1.6889024966713553,-20.951197376908574,7.219182424919137e-39,2.6810840329078854e-35,True,PECAM1,PECAM1,platelet and endothelial cell adhesion molecule 1,PECAM1
210081_at,11.876812412510208,7.459342881517241,-4.4174695309929675,-20.98904252580433,4.769095360382995e-38,1.5181393130773469e-34,True,AGER,AGER,advanced glycosylation end-product specific receptor,AGER
202112_at,11.825939237755097,9.56746572913793,-2.2584735086171666,-20.904174053929918,1.4646793682264635e-37,3.972015787004375e-34,True,VWF,VWF,von Willebrand factor,VWF
219719_at,9.313533223714288,7.949560087103445,-1.3639731366108423,-20.963402252739858,1.7149318223185335e-37,3.972015787004375e-34,True,HIGD1B,HIGD1B,HIG1 hypoxia inducible domain family member 1B,HIGD1B
209875_s_at,7.33348183179592,11.697896956068963,4.364415124273043,20.546466812949014,1.7825318794616412e-37,3.972015787004375e-34,True,SPP1,SPP1,secreted phosphoprotein 1,SPP1
203980_at,10.975070100632653,7.136528787793103,-3.83854131283955,-20.004831750761056,2.254575178701684e-37,4.567154427909966e-34,True,FABP4,FABP4,fatty acid binding protein 4,FABP4
204719_at,9.44398947910204,6.484079791034482,-2.959909688067558,-20.31368924984757,2.9250718273109114e-37,5.271066109093862e-34,True,ABCA8,ABCA8,ATP binding cassette subfamily A member 8,ABCA8
205200_at,10.750603562265306,7.338750064206897,-3.4118534980584094,-20.773668642051888,3.251662255152408e-37,5.271066109093862e-34,True,EXOSC7,EXOSC7///CLEC3B,exosome component 7///C-type lectin domain family 3 member B,EXOSC7
209555_s_at,9.571239337510203,7.15425560486207,-2.4169837326481334,-21.655562048800576,3.311714110636542e-37,5.271066109093862e-34,True,CD36,CD36,CD36 molecule,CD36
219597_s_at,8.788131968265306,6.611608491224138,-2.176523477041168,-20.130835881504844,4.0309973954956664e-37,5.988180997588662e-34,True,DUOX1,DUOX1,dual oxidase 1,DUOX1
32625_at,8.17454840532653,6.9923974018103445,-1.1821510035161849,-21.021580854928956,4.76041888153793e-37,6.629775871081856e-34,True,NPR1,NPR1,natriuretic peptide receptor 1,NPR1
204931_at,8.727459354591836,6.197361445034483,-2.5300979095573535,-20.6110056894804,5.754045240117341e-37,7.542199416796159e-34,True,TCF21,TCF21,transcription factor 21,TCF21
206481_s_at,10.368160992306125,8.156378437965518,-2.2117825543406067,-19.69646981250904,1.993430648035203e-36,2.4677563961204685e-33,True,LDB2,LDB2,LIM domain binding 2,LDB2
219213_at,9.42819941957143,7.869066989413792,-1.5591324301576375,-20.516137618407942,4.984260243147688e-36,5.845487947266312e-33,True,JAM2,JAM2,junctional adhesion molecule 2,JAM2
201540_at,12.15699138979592,9.60195022268966,-2.5550411671062605,-20.980693558861045,5.762909707794845e-36,6.420745850939627e-33,True,FHL1,FHL1,four and a half LIM domains 1,FHL1
204273_at,8.548033429040816,5.386773151396552,-3.1612602776442635,-20.258756733395415,7.653145527899832e-36,7.890178227639092e-33,True,EDNRB,EDNRB,endothelin receptor type B,EDNRB
204482_at,10.22693963342857,8.33866190398276,-1.888277729445809,-19.04298784700135,7.789970875019522e-36,7.890178227639092e-33,True,CLDN5,CLDN5,claudin 5,CLDN5
215454_x_at,10.945962763387753,6.956141194672415,-3.989821568715338,-19.245461734838084,1.6597017716637156e-35,1.607962372955764e-32,True,SFTPC,SFTPC,surfactant protein C,SFTPC
