probe_id,gene_symbol,gene_title,entrez_gene_id,primary_gene_symbol
1007_s_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,100616237///780,MIR4640
1053_at,RFC2,replication factor C subunit 2,5982,RFC2
117_at,HSPA6,heat shock protein family A (Hsp70) member 6,3310,HSPA6
121_at,PAX8,paired box 8,7849,PAX8
1255_g_at,GUCA1A,guanylate cyclase activator 1A,2978,GUCA1A
1294_at,MIR5193///UBA7,microRNA 5193///ubiquitin like modifier activating enzyme 7,100847079///7318,MIR5193
1316_at,THRA,"thyroid hormone receptor, alpha",7067,THRA
1320_at,PTPN21,"protein tyrosine phosphatase, non-receptor type 21",11099,PTPN21
1405_i_at,CCL5,C-C motif chemokine ligand 5,6352,CCL5
1431_at,CYP2E1,cytochrome P450 family 2 subfamily E member 1,1571,CYP2E1
1438_at,EPHB3,EPH receptor B3,2049,EPHB3
1487_at,ESRRA,estrogen related receptor alpha,2101,ESRRA
1494_f_at,CYP2A6,cytochrome P450 family 2 subfamily A member 6,1548,CYP2A6
1598_g_at,GAS6,growth arrest specific 6,2621,GAS6
160020_at,MMP14,matrix metallopeptidase 14,4323,MMP14
1729_at,TRADD,TNFRSF1A associated via death domain,8717,TRADD
1773_at,CHURC1-FNTB///FNTB,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta",100529261///2342,CHURC1-FNTB
177_at,PLD1,phospholipase D1,5337,PLD1
179_at,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene",441263,DTX2P1-UPK3BP1-PMS2P11
1861_at,BAD,BCL2 associated agonist of cell death,572,BAD
200000_s_at,PRPF8,pre-mRNA processing factor 8,10594,PRPF8
200001_at,CAPNS1,calpain small subunit 1,826,CAPNS1
200002_at,RPL35,ribosomal protein L35,11224,RPL35
200003_s_at,MIR6805///RPL28,microRNA 6805///ribosomal protein L28,102465483///6158,MIR6805
200004_at,EIF4G2,eukaryotic translation initiation factor 4 gamma 2,1982,EIF4G2
200005_at,EIF3D,eukaryotic translation initiation factor 3 subunit D,8664,EIF3D
200006_at,PARK7,Parkinsonism associated deglycase,11315,PARK7
200007_at,SRP14,signal recognition particle 14,6727,SRP14
200008_s_at,GDI2,GDP dissociation inhibitor 2,2665,GDI2
200009_at,GDI2,GDP dissociation inhibitor 2,2665,GDI2
200010_at,RPL11,ribosomal protein L11,6135,RPL11
200011_s_at,ARF3,ADP ribosylation factor 3,377,ARF3
200012_x_at,RPL21P28///SNORA27///SNORD102///RPL21,"ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21",100131205///619499///26771///6144,RPL21P28
200013_at,RPL24,ribosomal protein L24,6152,RPL24
200014_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),3183,HNRNPC
200015_s_at,SEPT2,septin 2,4735,SEPT2
200016_x_at,HNRNPA1P10///HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1,664709///3178,HNRNPA1P10
200017_at,RPS27A,ribosomal protein S27a,6233,RPS27A
200018_at,LOC100508408///SNORD14B///RPS13,"uncharacterized LOC100508408///small nucleolar RNA, C/D box 14B///ribosomal protein S13",100508408///85388///6207,LOC100508408
